Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
79 member(s) 8 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella flexneri],531,531,100%,0.0,99.23,259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_156675410.1?report=genbank&log$=prottop&blast_rank=1&RID=HBE2ENA0014"",""WP_156675410.1"")"
1 member(s) 1 organism(s),enterobacteria,IpaJ%2C invasion plasmid antigen [Shigella sonnei],517,517,97%,0.0,100.00,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CSP97898.1?report=genbank&log$=prottop&blast_rank=2&RID=HBE2ENA0014"",""CSP97898.1"")"
4 member(s) 3 organism(s),enterobacteria,hypothetical protein [Shigella sonnei],481,481,90%,3e-171,99.57,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFY1576850.1?report=genbank&log$=prottop&blast_rank=3&RID=HBE2ENA0014"",""EFY1576850.1"")"
56 member(s) 5 organism(s),enterobacteria,"type III secretion system effector cysteine protease IpaJ, partial [Shigella sonnei]",459,459,85%,1e-162,99.55,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_221727258.1?report=genbank&log$=prottop&blast_rank=4&RID=HBE2ENA0014"",""WP_221727258.1"")"
13 member(s) 5 organism(s),enterobacteria,"type III secretion system effector cysteine protease IpaJ, partial [Shigella sonnei]",422,422,79%,3e-148,100.00,204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_077903839.1?report=genbank&log$=prottop&blast_rank=5&RID=HBE2ENA0014"",""WP_077903839.1"")"
6 member(s) 2 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],387,387,73%,1e-134,100.00,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCR7480597.1?report=genbank&log$=prottop&blast_rank=6&RID=HBE2ENA0014"",""HCR7480597.1"")"
13 member(s) 3 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],360,360,67%,6e-124,100.00,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EGS9728253.1?report=genbank&log$=prottop&blast_rank=7&RID=HBE2ENA0014"",""EGS9728253.1"")"
34 member(s) 3 organism(s),enterobacteria,"type III secretion system effector cysteine protease IpaJ, partial [Shigella flexneri]",355,355,66%,3e-122,100.00,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_156663201.1?report=genbank&log$=prottop&blast_rank=8&RID=HBE2ENA0014"",""WP_156663201.1"")"
2 member(s) 1 organism(s),enterobacteria,IpaJ%2C invasion plasmid antigen [Shigella sonnei],335,335,62%,2e-114,100.00,165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CSP96467.1?report=genbank&log$=prottop&blast_rank=9&RID=HBE2ENA0014"",""CSP96467.1"")"
1 member(s) 1 organism(s),E. coli,type III secretion system effector cysteine protease IpaJ [Escherichia coli],318,318,59%,5e-108,100.00,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGC9826532.1?report=genbank&log$=prottop&blast_rank=10&RID=HBE2ENA0014"",""MGC9826532.1"")"
2 member(s) 1 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],318,318,59%,5e-108,100.00,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EOU8061820.1?report=genbank&log$=prottop&blast_rank=11&RID=HBE2ENA0014"",""EOU8061820.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Shigella sonnei],310,310,58%,7e-105,100.00,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EGE0346063.1?report=genbank&log$=prottop&blast_rank=12&RID=HBE2ENA0014"",""EGE0346063.1"")"
3 member(s) 2 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],305,305,57%,1e-102,100.00,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCR5825227.1?report=genbank&log$=prottop&blast_rank=13&RID=HBE2ENA0014"",""HCR5825227.1"")"
1 member(s) 1 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],281,281,52%,3e-93,100.00,135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ENQ1125033.1?report=genbank&log$=prottop&blast_rank=14&RID=HBE2ENA0014"",""ENQ1125033.1"")"
16 member(s) 2 organism(s),enterobacteria,hypothetical protein [Shigella sonnei],274,274,50%,7e-91,100.00,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EGD9216468.1?report=genbank&log$=prottop&blast_rank=15&RID=HBE2ENA0014"",""EGD9216468.1"")"
12 member(s) 4 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Escherichia coli],271,271,51%,2e-89,100.00,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFG8885929.1?report=genbank&log$=prottop&blast_rank=16&RID=HBE2ENA0014"",""EFG8885929.1"")"
1 member(s) 1 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],270,270,50%,3e-89,100.00,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EOT3001040.1?report=genbank&log$=prottop&blast_rank=17&RID=HBE2ENA0014"",""EOT3001040.1"")"
4 member(s) 2 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella flexneri],250,250,46%,2e-81,100.00,120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFR7167737.1?report=genbank&log$=prottop&blast_rank=18&RID=HBE2ENA0014"",""HFR7167737.1"")"
6 member(s) 2 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],244,244,45%,2e-79,100.00,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFQ0339047.1?report=genbank&log$=prottop&blast_rank=19&RID=HBE2ENA0014"",""EFQ0339047.1"")"
1 member(s) 1 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],240,240,45%,2e-77,100.00,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EOU2397863.1?report=genbank&log$=prottop&blast_rank=20&RID=HBE2ENA0014"",""EOU2397863.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Morganella sp. (in: enterobacteria)],243,243,85%,7e-77,52.04,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEG0281449.1?report=genbank&log$=prottop&blast_rank=21&RID=HBE2ENA0014"",""MEG0281449.1"")"
1 member(s) 1 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella flexneri],237,237,44%,2e-76,100.00,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFR2615164.1?report=genbank&log$=prottop&blast_rank=22&RID=HBE2ENA0014"",""HFR2615164.1"")"
3 member(s) 2 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],224,224,42%,2e-71,100.00,109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCR7476343.1?report=genbank&log$=prottop&blast_rank=23&RID=HBE2ENA0014"",""HCR7476343.1"")"
3 member(s) 3 organism(s),RNA similarity group I,hypothetical protein [Pseudomonas fluorescens],228,228,78%,2e-71,53.69,234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_150780237.1?report=genbank&log$=prottop&blast_rank=24&RID=HBE2ENA0014"",""WP_150780237.1"")"
14 member(s) 3 organism(s),enterobacteria,type III secretion system effector cysteine protease IpaJ [Shigella sonnei],220,220,40%,8e-70,100.00,104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFW6760077.1?report=genbank&log$=prottop&blast_rank=25&RID=HBE2ENA0014"",""EFW6760077.1"")"
1 member(s) 1 organism(s),RNA similarity group I,MULTISPECIES: hypothetical protein [Pseudomonas],223,223,78%,5e-69,51.72,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_235571397.1?report=genbank&log$=prottop&blast_rank=26&RID=HBE2ENA0014"",""WP_235571397.1"")"
2 member(s) 1 organism(s),E. coli,type III secretion system effector cysteine protease IpaJ [Escherichia coli],217,217,40%,2e-68,100.00,104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EMA5476315.1?report=genbank&log$=prottop&blast_rank=27&RID=HBE2ENA0014"",""EMA5476315.1"")"
1 member(s) 1 organism(s),b-proteobacteria,hypothetical protein [Chromobacterium vaccinii],197,197,76%,3e-59,52.28,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_144410208.1?report=genbank&log$=prottop&blast_rank=28&RID=HBE2ENA0014"",""WP_144410208.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Pseudomonas cremoris],197,197,79%,4e-59,52.45,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_185710396.1?report=genbank&log$=prottop&blast_rank=29&RID=HBE2ENA0014"",""WP_185710396.1"")"
